"","x"
"1","Amblyraja hyperborea"
"2","Amblyraja radiata"
"3","Anarhichas denticulatus"
"4","Anarhichas lupus"
"5","Anarhichas minor"
"6","Arctozenus risso"
"7","Argentina silus"
"8","Artediellus atlanticus"
"9","Aspidophoroides olrikii"
"10","Boreogadus saida"
"11","Clupea harengus"
"12","Cottunculus microps"
"13","Gadiculus argenteus"
"14","Gadus morhua"
"15","Hippoglossoides platessoides"
"16","Icelus"
"17","Leptagonus decagonus"
"18","Leptoclinus maculatus"
"19","Liparidae"
"20","Lumpenus lampretaeformis"
"21","Mallotus villosus"
"22","Melanogrammus aeglefinus"
"23","Micromesistius poutassou"
"24","Pollachius virens"
"25","Reinhardtius hippoglossoides"
"26","Sebastes mentella"
"27","Sebastes norvegicus"
"28","Sebastes viviparus"
"29","Triglops murrayi"
"30","Triglops nybelini"
"31","Triglops pingelii"
"32","Trisopterus esmarkii"
